column_name,measure,value_2020_2,value_2021_1,values_equal
CensusHouseholdCount1991,data_type,int,int,TRUE
CensusHouseholdCount1991,null_count,0,0,TRUE
CensusHouseholdCount1991,distinct_values,132,132,TRUE
CensusHouseholdCount1991,minimum_value,0,0,TRUE
CensusHouseholdCount1991,maximum_value,195,195,TRUE
CensusHouseholdCount2001,data_type,int,int,TRUE
CensusHouseholdCount2001,null_count,0,0,TRUE
CensusHouseholdCount2001,distinct_values,109,109,TRUE
CensusHouseholdCount2001,minimum_value,0,0,TRUE
CensusHouseholdCount2001,maximum_value,238,238,TRUE
CensusHouseholdCount2011,data_type,int,int,TRUE
CensusHouseholdCount2011,null_count,0,0,TRUE
CensusHouseholdCount2011,distinct_values,101,101,TRUE
CensusHouseholdCount2011,minimum_value,0,0,TRUE
CensusHouseholdCount2011,maximum_value,102,102,TRUE
CensusPopulationCount1991,data_type,int,int,TRUE
CensusPopulationCount1991,null_count,0,0,TRUE
CensusPopulationCount1991,distinct_values,325,325,TRUE
CensusPopulationCount1991,minimum_value,0,0,TRUE
CensusPopulationCount1991,maximum_value,773,773,TRUE
CensusPopulationCount2001,data_type,int,int,TRUE
CensusPopulationCount2001,null_count,0,0,TRUE
CensusPopulationCount2001,distinct_values,311,311,TRUE
CensusPopulationCount2001,minimum_value,0,0,TRUE
CensusPopulationCount2001,maximum_value,2292,2292,TRUE
CensusPopulationCount2011,data_type,int,int,TRUE
CensusPopulationCount2011,null_count,0,0,TRUE
CensusPopulationCount2011,distinct_values,324,324,TRUE
CensusPopulationCount2011,minimum_value,0,0,TRUE
CensusPopulationCount2011,maximum_value,1956,1956,TRUE
CivilParish1930Code,data_type,char(9),char(9),TRUE
CivilParish1930Code,null_count,0,0,TRUE
CivilParish1930Code,distinct_values,861,861,TRUE
CivilParish1930Code,minimum_value,S35000001,S35000001,TRUE
CivilParish1930Code,maximum_value,S35000871,S35000871,TRUE
CommunityHealthPartnership2007,data_type,char(9),char(9),TRUE
CommunityHealthPartnership2007,null_count,224174,224827,FALSE
CommunityHealthPartnership2007,distinct_values,0,0,TRUE
CommunityHealthPartnership2007,minimum_value,NULL,NULL,TRUE
CommunityHealthPartnership2007,maximum_value,NULL,NULL,TRUE
CommunityHealthPartnership2011,data_type,char(9),char(9),TRUE
CommunityHealthPartnership2011,null_count,224174,224827,FALSE
CommunityHealthPartnership2011,distinct_values,0,0,TRUE
CommunityHealthPartnership2011,minimum_value,NULL,NULL,TRUE
CommunityHealthPartnership2011,maximum_value,NULL,NULL,TRUE
CommunityHealthPartnership2012,data_type,char(9),char(9),TRUE
CommunityHealthPartnership2012,null_count,224174,224827,FALSE
CommunityHealthPartnership2012,distinct_values,0,0,TRUE
CommunityHealthPartnership2012,minimum_value,NULL,NULL,TRUE
CommunityHealthPartnership2012,maximum_value,NULL,NULL,TRUE
CommunityHealthPartnershipSA2011,data_type,char(9),char(9),TRUE
CommunityHealthPartnershipSA2011,null_count,224174,224827,FALSE
CommunityHealthPartnershipSA2011,distinct_values,0,0,TRUE
CommunityHealthPartnershipSA2011,minimum_value,NULL,NULL,TRUE
CommunityHealthPartnershipSA2011,maximum_value,NULL,NULL,TRUE
CouncilArea2011Code,data_type,char(9),char(9),TRUE
CouncilArea2011Code,null_count,224174,224827,FALSE
CouncilArea2011Code,distinct_values,0,0,TRUE
CouncilArea2011Code,minimum_value,NULL,NULL,TRUE
CouncilArea2011Code,maximum_value,NULL,NULL,TRUE
CouncilArea2018Code,data_type,char(9),char(9),TRUE
CouncilArea2018Code,null_count,224174,224827,FALSE
CouncilArea2018Code,distinct_values,0,0,TRUE
CouncilArea2018Code,minimum_value,NULL,NULL,TRUE
CouncilArea2018Code,maximum_value,NULL,NULL,TRUE
CouncilArea2019Code,data_type,char(9),char(9),TRUE
CouncilArea2019Code,null_count,0,0,TRUE
CouncilArea2019Code,distinct_values,32,32,TRUE
CouncilArea2019Code,minimum_value,S12000005,S12000005,TRUE
CouncilArea2019Code,maximum_value,S12000050,S12000050,TRUE
DataZone2001Code,data_type,char(9),char(9),TRUE
DataZone2001Code,null_count,0,0,TRUE
DataZone2001Code,distinct_values,6500,6500,TRUE
DataZone2001Code,minimum_value,S01000001,S01000001,TRUE
DataZone2001Code,maximum_value,S01006505,S01006505,TRUE
DataZone2011Code,data_type,char(9),char(9),TRUE
DataZone2011Code,null_count,0,0,TRUE
DataZone2011Code,distinct_values,6976,6976,TRUE
DataZone2011Code,minimum_value,S01006506,S01006506,TRUE
DataZone2011Code,maximum_value,S01013481,S01013481,TRUE
DateOfDeletion,data_type,datetime2(3),datetime2(3),TRUE
DateOfDeletion,null_count,158274,158774,FALSE
DateOfDeletion,distinct_values,291,292,FALSE
DateOfDeletion,minimum_value,27851,27851,TRUE
DateOfDeletion,maximum_value,44029,44211,FALSE
DateOfIntroduction,data_type,datetime2(3),datetime2(3),TRUE
DateOfIntroduction,null_count,0,0,TRUE
DateOfIntroduction,distinct_values,468,470,FALSE
DateOfIntroduction,minimum_value,26755,26755,TRUE
